from,to
Platzeck,SPD
Pofalla,DB
Pofalla,Union
Praetorius,HFTWB
Tillich,Union
Hasselfeldt,DRK
Hasselfeldt,Union
Kampeter,BDA
Kampeter,Union
Kampeter,Finanzministerium
Kapferer,BDEW
Kapferer,FDP
Kempf,BDI
Nemat,Telekom
Nemat,McKinsey
Reiche,VKU
Reiche,Verkehrsministerium
Röstel,EnBW
Röstel,StadtentwässerungDresden
Röstel,Grüne
Schweitzer,DIHT
Schweitzer,Alba
Schweitzer,FDP
Grothus,BuirerfürBuier
Grothus,BraunkohleBetroffenen
Wodtke,Union
Wodtke,NetzwerkBergbaugeschädigter
Herntier,SprembergerTuche
Kreuzberg,Union
Priggen,Grüne
Priggen,LEENRW
Vassiliadis,IGBCE
Vassiliadis,SPD
Scheidt,SPD
Scheidt,Verdi
Scheidt,Eon
Scheidt,Bundesvorstand
Körzell,DGB
Körzell,SPD
Kaiser,Greenpeace
Weiger,NachhaltigeEntwicklungBundesregierung
Weiger,BUND
Niebert,DNR
Niebert,Naturfreunde
Niebert,UniversitätZürich
Allmendinger,DGS
Allmendinger,WZB
Allmendinger,UniversitätZürich
Matthes,ÖkoInstitut
Schellnhuber,PotsdamKlimafolgenforschung
Schellnhuber,UniversitätPotsdam
Schellnhuber,WBGU
Schellnhuber,IPCC
Niebuhr,UniKiel
Wehrspohn,FraunhoferInstitut
Lämmel,AusschussWirtschaftEnergie
Lämmel,Union
Lenz,Union
Lenz,AusschussWirtschaftEnergie
Miersch,SPD
Platzeck,KK
Pofalla,KK
Praetorius,KK
Tillich,KK
Hasselfeldt,KK
Kampeter,KK
Kapferer,KK
Kempf,KK
Nemat,KK
Reiche,KK
Röstel,KK
Schweitzer,KK
Grothus,KK
Wodtke,KK
Herntier,KK
Kreuzberg,KK
Priggen,KK
Vassiliadis,KK
Scheidt,KK
Körzell,KK
Kaiser,KK
Weiger,KK
Niebert,KK
Allmendinger,KK
Matthes,KK
Schellnhuber,KK
Niebuhr,KK
Wehrspohn,KK
Lämmel,KK
Lenz,KK
Miersch,KK
Allmendinger,HumboldtUniversität