id,name,type,sex,age,party,position,representation,state
Platzeck,Matthias Platzeck,0,1,5,1,1,1,5
Pofalla,Ronald Pofalla,0,1,5,2,1,2,8
Praetorius,Barbara Praetorius,0,2,4,99,1,6,6
Tillich,Stanislaw Tillich,0,1,5,2,1,1,2
Hasselfeldt,Gerda Hasselfeldt,0,2,5,2,2,1,99
Kampeter,Steffen Kampeter,0,1,4,2,2,3,8
Kapferer,Stefan Kapferer,0,1,4,3,2,2,99
Kempf,Dieter Kempf,0,1,5,99,2,2,99
Nemat,Claudia Nemat,0,2,4,99,2,2,99
Reiche,Katherina Reiche,0,2,3,2,2,2,5
Röstel,Gunda Röstel,0,2,4,4,2,2,2
Schweitzer,Eric Schweitzer,0,1,4,3,2,2,6
Grothus,Antje Grothus,0,2,4,99,2,5,9
Wodtke,Hannelore Wodtke,0,2,99,2,2,5,5
Herntier,Christine Herntier,0,2,5,99,2,5,5
Kreuzberg,Michael Kreuzberg,0,1,5,2,2,5,8
Priggen,Reiner Priggen,0,1,5,4,2,5,8
Vassiliadis,Michael Vassiliadis,0,1,4,1,2,3,99
Scheidt,Andreas Scheidt,0,1,4,1,2,3,8
Körzell,Stefan Körzell,0,1,4,1,2,3,7
Kaiser,Martin Kaiser,0,1,4,99,2,4,99
Weiger,Hubert Weiger,0,1,5,99,2,4,99
Niebert,Kai Niebert,0,1,2,99,2,4,99
Allmendinger,Jutta Allmendinger,0,2,5,99,2,6,6
Matthes,Felix Matthes,0,1,4,99,2,6,6
Schellnhuber,Hans Joachim Schellnhuber,0,1,5,99,2,6,5
Niebuhr,Annekathrin Niebuhr,0,2,4,99,2,6,4
Wehrspohn,Ralf Wehrspohn,0,1,4,99,2,6,3
Lämmel,Andreas Lämmel,0,1,4,2,3,1,2
Lenz,Andreas Lenz,0,1,2,2,3,2,1
Miersch,Matthias Miersch,0,1,3,1,3,1,11
SPD,Sozialdemokratische Partei Deutschlands,1,99,99,1,99,1,99
Union,Christlich Demokratische Union Deutschlands und Christlich-Soziale Union in Bayern,1,99,99,2,99,1,99
AusschussWirtschaftEnergie,Ausschuss für Wirtschaft und Energie,1,99,99,99,99,2,99
FraunhoferInstitut,Fraunhofer-Institut,1,99,99,99,99,6,99
UniKiel,Uni Kiel,1,99,99,99,99,6,99
PotsdamKlimafolgenforschung,Potsdam-Institut für Klimafolgenforschung,1,99,99,99,99,4,4
UniversitätPotsdam,Universität Potsdam,1,99,99,99,99,6,5
WBGU,Wissenschaftlichen Beirat der Bundesregierung für Globale Umweltveränderungen,1,99,99,99,99,6,99
IPCC,Weltklimarat IPCC,1,99,99,99,99,4,99
ÖkoInstitut,Öko-Institut,1,99,99,99,99,4,99
WZB,Wissenschaftszentrum Berlin für Sozialforschung,1,99,99,99,99,6,99
HumboldtUniversität,Berliner Humboldt-Universität,1,99,99,99,99,6,6
DGS,Deutschen Gesellschaft für Soziologie,1,99,99,99,99,6,99
DNR,Dachverband Deutscher Naturschutzring,1,99,99,99,99,4,99
Naturfreunde,Naturfreunde Deutschland,1,99,99,99,99,4,99
UniversitätZürich,Universität Zürich,1,99,99,99,99,6,99
BUND,Bund für Umwelt und Naturschutz Deutschland,1,99,99,99,99,4,99
NachhaltigeEntwicklungBundesregierung,Rat für Nachhaltige Entwicklung der Bundesregierung,1,99,99,99,99,4,99
Greenpeace,Greenpeace,1,99,99,99,99,4,99
DGB,Deutscher Gewerkschaftsbund,1,99,99,99,99,3,99
Bundesvorstand,Bundesvorstand,1,99,99,99,99,1,99
Verdi,Verdi,1,99,99,99,99,3,99
Eon,Eon,1,99,99,99,99,2,99
IGBCE,"Industriegewerkschaft Bergbau, Chemie, Energie",1,99,99,99,99,2,99
Grüne,Die Grünen,1,99,99,4,99,1,99
LEENRW,Landesverbandes Erneuerbare Energien Nordrhein-Westfalen,1,99,99,99,99,1,8
SprembergerTuche,Spremberger Tuche,1,99,99,99,99,2,5
NetzwerkBergbaugeschädigter,Netzwerk Bergbaugeschädigter,1,99,99,99,99,3,99
BuirerfürBuier,Buirer für Buier,1,99,99,99,99,4,99
BraunkohleBetroffenen,Braunkohle Betroffenen,1,99,99,99,99,3,99
DIHT,Deutscher Industrie und Handelskammertag,1,99,99,99,99,2,99
FDP,Freie Demokratische Partei,1,99,99,3,99,1,99
StadtentwässerungDresden,Stadtentwässerung Dresden,1,99,99,99,99,5,2
Alba,Alba,1,99,99,99,99,2,99
EnBW,Energie Baden-Württemberg,1,99,99,99,99,2,10
VKU,Verband Kommunaler Unternehmen,1,99,99,99,99,3,99
Verkehrsministerium,Verkehrsministerium,1,99,99,99,99,1,99
Telekom,Telekom,1,99,99,99,99,2,99
McKinsey,McKinsey,1,99,99,99,99,2,99
BDI,Bundesverband der Deutschen Industrie,1,99,99,99,99,2,99
BDEW,Bundesverband der Energie- und Wasserwirtschaft,1,99,99,99,99,2,99
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbände,1,99,99,99,99,3,99
Finanzministerium,Finanzministerium,1,99,99,99,99,1,99
DRK,Deutsches Rotes Kreuz,1,99,99,99,99,3,99
HFTWB,Hochschule für Technik und Wirtschaft Berlin,1,99,99,99,99,6,6
DB,Deutsche Bahn,1,99,99,99,99,2,99